SHORTNM,VALUETXT
HCGH-64072350000-CCU, 6407235000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6407240000-4 South, 1^----^$now^----^EmploymentStatus
HCGH-6407310000-Pediatrics, 6407310000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6407320000-MCU, 6407320000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6407330000-Nursery, 6407330000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6407340000-NICU, 6407340000^----^WorkedAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6407350000-Lactation, 6407350000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6407360000-Labor+Delivery, 6407360000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6407370000-CMFM, 6407370000^----^1^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
HCGH-6407380000-Audiology, 6407380000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6407410000-Emergency Dept, 6407410000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6407420000-Pediatric Emer, 6407420000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6407430000-CX ED Stroke, 6407430000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6407440000-Short Stay, 6407440000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6407440000-Worked In, 6407440000^----^WorkedAcct
HCGH-6407520000-Operating Room, 6407520000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6407530000-Same Day Surg, 6407530000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6407540000-Endoscopy Hosp, 6407540000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6407550000-100 PACU, 6407550000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6407550000-400 PACU, 6407550000^----^1^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
HCGH-6407550000-PACU, 6407550000^----^1^----^HomeAcct^----^3^----^{ts '2010-07-15 00:00:00.0'}^----^EmploymentStatus
HCGH-6407560000-Aneshesiology, 6407560000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6407570000-Sterile Supply, 6407570000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6408*-Pulmonary Group, 6408210000#6408220000#6408225000#6408230000#6408240000#6408245000#6408520000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6408200000-Outpatient Adm, 6408200000^----^1^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
HCGH-6408210000-Respir Therapy, 6408210000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6408215000-EEG, 6408215000^----^1^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
HCGH-6408220000-Pulmonary Func, 6408220000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6408225000-EKG, 6408225000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6408230000-EECP, 6408230000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6408235000-Echo, 6408235000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6408240000-Cardiac Diagno, 6408240000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6408245000-Cardiac Rehab, 6408245000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6408250000-Physical Ther Inp, 6408250000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6408250200-Outpatient PT, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^6408250200^----^*^----^*^----^1^----^$now^----^EmploymentStatus
HCGH-6408255000- Occ Therapy, 6408255000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6408255200-Outpatient OT, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^6408255200^----^*^----^*^----^1^----^$now^----^EmploymentStatus
HCGH-6408260000-Occ Ther Psych, 6408260000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6408265000-Speech Therapy, 6408265000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6408265200-Outpatient ST, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^6408265200^----^*^----^*^----^1^----^$now^----^EmploymentStatus
HCGH-6408310000-Phys+Surg Asst, 6408310000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6408340000-Central Transp, 6408340000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6408400000-Imaging Admin, 6408400000^----^1^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
HCGH-6408410000-Diagnostic Img, 6408410000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6408415000-Radiation Onco, 6408415000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6408420000-Cat Scan, 6408420000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6408430000-Nuclear Med, 6408430000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6408450000-MRI Hospital, 6408450000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6408460000-Mammography, 6408460000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6408470000-Breast Health, 6408470000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6408475000-Cardiac Cath, 6408475000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6408490000-Ultrasound, 6408490000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6408493000-Perinatology, 6408493000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6408495000-Vascular Lab, 6408495000^----^1^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
HCGH-6408520000-Anbulatory BGS, 6408520000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6408710000-Pharmacy, 6408710000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6408805000-Clinic, 6408810000^----^1^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
HCGH-6408810000-ClinicInfusion, 6408810000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6408815000-Diabetes, 6408815000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6408820000-Wound Care, 6408820000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6408830000-AC Clinic, 6408830000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6408845000-Breast Health, 6408845000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6408910000-Dietary, 6408910000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6408920000-Cafeteria, 6408920000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6408930000-Catering, 6408930000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6408940000-Vending, 6408940000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-6419110000-HHF, 6419110000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-Active Employees, HS30#HS31#HS32^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-Active Employees Payroll, TL1#TL2#TL5^----^1^----^HomeAcct
HCGH-Active Kronos WF Managers, SuiteManager^----^HS30#HS31#HS32^----^1^----^HomeAcct
HCGH-All Home, HS30#HS31#HS32^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-All Home excl. Main OR, 6407520000^----^1^----^HomeAcct
HCGH-All Home excludes A.McQueen emps, 1^----^$now^----^EmploymentStatus^----^=^----^5408356^----^reportsto_filter_item.ItemType.ReportsTo^----^*^----^*^----^HomeAcct^----^1^----^*^----^*^----^6408250211^----^*^----^*^----^IN^----^PayRule^----^HS30#HS31#HS32^----^1^----^HomeAcct
HCGH-EILO Except, HS30#HS31#HS32^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-Inactive EES, HS30#HS31#HS32^----^1^----^HomeAcct^----^2^----^$now^----^EmploymentStatus
HCGH-Nursing Units, 6407010000#6407030000#6407040000#6407050000#6407060000#6407130000#6407210000#6407215000#6407235000#6407240000#6407310000#6407320000#6407330000#6407340000#6407360000#6407410000#6407420000#6407440000#6407520000#6407525000#6407530000#6407540000#6407550000#6407560000#6408310000#6408470000#6408475000#6408845000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-PACU, 4617555000#6407550000^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HCGH-Rehab Group, 1^----^$now^----^EmploymentStatus^----^6408250000#6408255000#6408260000#6408265000#6408820000^----^1^----^HomeAcct
HCGH-Rehab Group(INCL Woulnd), 1^----^$now^----^EmploymentStatus
HCGH-TCAS OR, 4616415000#4617515000#4617525000#4617555000#4617575000#6407525000^----^1^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
HCGH-Terminated Employees All, HS30#HS31#HS32^----^1^----^HomeAcct^----^3^----^$now^----^EmploymentStatus
HCGH-Total FMLA Hours, 5601^----^0^----^Hours^----^WorkedItem^----^HS30#HS31#HS32^----^1^----^HomeAcct
HCGH-Transfers, 640*^----^1^----^HomeAcct^----^640*^----^WorkedAcctTransfer
HCGH-Workforce Mangers, HS30#HS31#HS32^----^1^----^HomeAcct
HIM - Active Employee Users, 1^----^$now^----^UserStatus^----^*^----^*^----^HomeAcct^----^1^----^*^----^*^----^4500220001#4500220002^----^*^----^*
HIM - Pilot GTOR Group, 1^----^$now^----^EmploymentStatus
HIM Operations, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4500220003#4500220004#4500220006#4500220007#4500220005^----^*^----^*^----^1^----^$now^----^EmploymentStatus
HS03 - JHCP, HS03^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HS04/05/07/08-HCG, HS04#HS05#HS07#HS08^----^1^----^HomeAcct^----^1^----^$now^----^EmploymentStatus
HS10 - JHHC, HS10^----^*^----^HomeAcct^----^1^----^*^----^*^----^*^----^*^----^*^----^1^----^$now^----^EmploymentStatus
ISTAFF - ACH, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^*^----^TL1^----^*^----^1^----^$now^----^EmploymentStatus^----^IN^----^1^----^com.kronos.wfc.commonapp.hyperfind.shared.ExtSingleColumnConstraintTFNumberBean.ItemType.PrimaryOrgJob
ISTAFF - BMC, 1^----^$now^----^EmploymentStatus^----^IN^----^1^----^com.kronos.wfc.commonapp.hyperfind.shared.ExtSingleColumnConstraintTFNumberBean.ItemType.PrimaryOrgJob_IncludeChildrenNodes^----^*^----^*^----^HomeAcct^----^1^----^*^----^*^----^*^----^TL1^----^*
ISTAFF - DEFAULT, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^*^----^TL1^----^*^----^1^----^$now^----^EmploymentStatus^----^IN^----^1^----^com.kronos.wfc.commonapp.hyperfind.shared.ExtSingleColumnConstraintTFNumberBean.ItemType.PrimaryOrgJob
ISTAFF - HCGH, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^*^----^TL1^----^*^----^1^----^$now^----^EmploymentStatus^----^IN^----^1^----^com.kronos.wfc.commonapp.hyperfind.shared.ExtSingleColumnConstraintTFNumberBean.ItemType.PrimaryOrgJob
ISTAFF - Pharm, 1^----^$now^----^EmploymentStatus^----^=^----^1^----^39254^----^com.kronos.wfc.commonapp.hyperfind.shared.ExtSingleColumnConstraintTFNumberBean.ItemType.PrimaryOrgJob_IncludeChildrenNodes^----^=^----^5302^----^PayRule
ISTAFF - SHHS, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^*^----^TL1^----^*^----^1^----^$now^----^EmploymentStatus^----^=^----^1^----^9654^----^com.kronos.wfc.commonapp.hyperfind.shared.ExtSingleColumnConstraintTFNumberBean.ItemType.PrimaryOrgJob
ISTAFF-Global, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^*^----^TL1^----^*^----^1^----^$now^----^EmploymentStatus
JHCP - Schedule Groups - Rates, JHCP - Non-Exempt Moonlighter - AST# JHCP - Non-Exempt Moonlighter - OTP# JHCP - Non-Exempt Salary - AST# JHCP - Non-Exempt Salary - OTP# JHCP - Salary Provider# JHCP - Exempt Moonlighter^----^GroupSchedule^----^1^----^$now^----^EmploymentStatus
JHCP - SG - Non-Exempt Moon - AST, JHCP - Non-Exempt Moonlighter - AST^----^GroupSchedule^----^1^----^$now^----^EmploymentStatus
JHCP - SG - Non-Exempt Moon - OTP, JHCP - Non-Exempt Moonlighter - OTP^----^GroupSchedule^----^1^----^$now^----^EmploymentStatus
JHCP - SG - Non-Exempt Salary - AST, JHCP - Non-Exempt Salary - AST^----^GroupSchedule^----^1^----^$now^----^EmploymentStatus
JHCP - SG - Non-Exempt Salary - OTP, JHCP - Non-Exempt Salary - OTP^----^GroupSchedule^----^1^----^$now^----^EmploymentStatus
JHCP - SG - Salary-Exempt Provider, JHCP - Salary-Exempt Provider^----^GroupSchedule^----^1^----^$now^----^EmploymentStatus
JHCP BCC, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4405033001^----^*^----^*
JHCP CSI mgrs, FullName
JHCP HS03 Global, HS03^----^*^----^HomeAcct^----^1^----^*^----^*^----^*^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP Tier 2, 1^----^$now^----^EmploymentStatus
JHCP_for_Req_Period, 1^----^$now^----^EmploymentStatus^----^HS03^----^*^----^HomeAcct^----^1^----^*^----^*^----^4400029565#4405007352#4405005001#4404190052#4404180252#4404180052#4404172052#4405005252#4405005352#4405006001#4405007052^----^*^----^*^----^HS03^----^*^----^HomeAcct^----^1^----^*^----^*^----^*^----^*^----^*
JHCP-4404012201-Remington Admin, 1^----^$now^----^EmploymentStatus^----^*^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404012201^----^*^----^*
JHCP-4404012234-Wyman Lab, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404012234^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404012252-Remington IM Phys, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404012252^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404012272-Remington Peds Phys, 1^----^$now^----^EmploymentStatus^----^*^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404012272^----^*^----^*
JHCP-4404012291-Remington Ob-Gyn, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404012291^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404012292-Remington Ob-Gyn Phy, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404012292^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404022401-East Balto Med Ctr, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404022401^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404022431-AIC Staff, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404022431^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404022432-AIC Phys, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404022432^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404022444-EBMC Radiology, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404022444^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404022451-EBMC Adult Medicine, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404022451^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404022452-EBMC IM Physicians, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404022452^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404022463-EBMC Podiatry, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404022463^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404022471-EBMC Pediatrics, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404022471^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404022472-EBMC Peds Physicians, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404022472^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404022491-EBMC Gyn-Ob, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404022491^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404022492-EBMC Gyn-Ob Phys, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404022492^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404052301-JHCP At Canton, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404052301^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404052304-Canton Neurology, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404052304^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404052352-Canton Adult Phys, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404052352^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404052372-Canton Pediatricians, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404052372^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404052392-Canton Ob-Gyn Phys, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404052392^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404113001-JHCP At Greater Dund, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404113001^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404113052-GDMC Im Physicians, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404113052^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404113063-GDMC Podiatry, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404113063^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404123531-WM Chiropractic, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404123531^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404123532-WM Chiro Phys, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404123532^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404123551-WM Adult Medicine, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404123551^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404123552-WM FP Physicians, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404123552^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404123571-WM Pediatrics, 1^----^$now^----^EmploymentStatus^----^*^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404123571^----^*^----^*
JHCP-4404123572-WM Peds Physicians, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404123572^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404134001-JHCP At Greenspring, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404134001^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404134052-GSS IM Physicians, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404134052^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404145001-Glen Burnie, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404145001^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404145052-Glen Burnie Phys, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404145052^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404150001-Bowie, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404150001^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404150052-Bowie Phys, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404150052^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404160001-Germantown, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404160001^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404160052-Germantown Phys, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404160052^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404170001-Bayview IM, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404170001^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404170052-Bayview IM Phys, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404170052^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404172052-Bayview Hosp Phys, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404172052^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404200001-Heart Care-Bethesda, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404200001^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404200052-Heart Care-Bethes Ph, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404200052^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404200201-Heart Care-SS Admin, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404200201^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404200252-Heart Care-SS Phys, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404200252^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404200301-Heart Care-Rockville, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404200301^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404200352-Heart Care-Rockvl Ph, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404200352^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404200401-Heart Care-Chevy Ch, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404200401^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404200452-Heart Care-CC Phys, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404200452^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404214501-Waters Edge, 1^----^$now^----^EmploymentStatus^----^*^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404214501^----^*^----^*
JHCP-4404214552-Waters Edge IM Phys, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404214552^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404214572-Waters Edge Peds Phy, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404214572^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404220001-HCGH Pulmonology, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404220001^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404220052-HCGH Pulmon Phys, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404220052^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404315001-JHCP At Annapolis, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404315001^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404315052-Annapolis FP Phys, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404315052^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404325551-Odenton FP Staff, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404325551^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404325552-Odenton FP Physician, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404325552^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404325562-Odenton IM Phys, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404325562^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404325571-Odenton Peds Staff, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404325571^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404325572-Odenton Peds Phys, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404325572^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404325589-Bayview Ob @ Odenton, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404325589^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404426301-JHCP At Charles Cty, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404426301^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404426352-Charles County Phys, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404426352^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404516501-JHCP At Howard, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404516501^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404516552-Howard FP Physicians, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404516552^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404516571-Howard Peds Staff, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404516571^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404516572-Howard Peds Phy, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404516572^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404516591-Howard Ob-Gyn, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404516591^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404516592-Howard Ob-Gyn Phys, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404516592^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404526601-Fulton Admin, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404526601^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404526652-Fulton Physicians, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404526652^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404536701-HCGH General Surgery, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404536701^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404617001-JHCP At Montgomery, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404617001^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404617052-Montgomery FP Phys, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404617052^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404717501-JHCP At Westminster, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404717501^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404717552-Westminster FP Phys, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404717552^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404818001-JHCP At Frederick, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404818001^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404818052-Frederick FP Phys, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404818052^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404918501-JHCP At Hagerstown, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404918501^----^*^----^*^----^1^----^$now^----^EmploymentStatus
JHCP-4404918552-Hager FP Physicians, *^----^*^----^HomeAcct^----^1^----^*^----^*^----^4404918552^----^*^----^*^----^1^----^$now^----^EmploymentStatus
